id,event,time,duration
132,arrival,2025-10-24 14:35:05,
132,departure,2025-10-24 14:35:06,0.87s
132,arrival,2025-10-24 14:35:07,
132,departure,2025-10-24 14:35:09,2.40s
148,arrival,2025-10-24 14:37:45,
148,departure,2025-10-24 14:37:45,0.16s
155,arrival,2025-10-24 14:37:53,
155,departure,2025-10-24 14:37:53,0.16s
159,arrival,2025-10-24 14:38:14,
159,departure,2025-10-24 14:38:15,0.14s
164,arrival,2025-10-24 14:38:15,
164,departure,2025-10-24 14:38:15,0.13s
167,arrival,2025-10-24 14:38:22,
167,departure,2025-10-24 14:38:49,26.49s
195,arrival,2025-10-24 14:39:00,
195,departure,2025-10-24 14:39:00,0.15s
196,arrival,2025-10-24 14:39:00,
196,departure,2025-10-24 14:39:01,0.15s
196,arrival,2025-10-24 14:39:01,
196,departure,2025-10-24 14:39:01,0.15s
196,arrival,2025-10-24 14:39:02,
196,departure,2025-10-24 14:39:03,1.12s
196,arrival,2025-10-24 14:39:03,
196,departure,2025-10-24 14:39:04,0.14s
196,arrival,2025-10-24 14:39:04,
196,departure,2025-10-24 14:39:04,0.43s
196,arrival,2025-10-24 14:39:04,
196,departure,2025-10-24 14:39:05,0.57s
196,arrival,2025-10-24 14:39:05,
196,departure,2025-10-24 14:39:06,0.15s
196,arrival,2025-10-24 14:39:06,
196,departure,2025-10-24 14:39:06,0.12s
196,arrival,2025-10-24 14:39:06,
196,departure,2025-10-24 14:39:07,0.40s
196,arrival,2025-10-24 14:39:07,
196,departure,2025-10-24 14:39:08,1.39s
196,arrival,2025-10-24 14:39:08,
196,departure,2025-10-24 14:39:09,0.14s
196,arrival,2025-10-24 14:39:09,
196,departure,2025-10-24 14:39:11,1.72s
196,arrival,2025-10-24 14:39:11,
196,departure,2025-10-24 14:39:12,0.73s
196,arrival,2025-10-24 14:39:12,
196,departure,2025-10-24 14:39:12,0.15s
196,arrival,2025-10-24 14:39:13,
196,departure,2025-10-24 14:39:14,1.36s
196,arrival,2025-10-24 14:39:15,
196,departure,2025-10-24 14:39:15,0.16s
196,arrival,2025-10-24 14:39:15,
196,departure,2025-10-24 14:39:15,0.16s
196,arrival,2025-10-24 14:39:16,
196,departure,2025-10-24 14:39:16,0.13s
196,arrival,2025-10-24 14:39:16,
196,departure,2025-10-24 14:39:17,1.04s
196,arrival,2025-10-24 14:39:18,
196,departure,2025-10-24 14:39:19,0.46s
196,arrival,2025-10-24 14:39:19,
196,departure,2025-10-24 14:39:19,0.14s
196,arrival,2025-10-24 14:39:20,
196,departure,2025-10-24 14:39:21,0.42s
196,arrival,2025-10-24 14:39:21,
196,departure,2025-10-24 14:39:22,0.97s
196,arrival,2025-10-24 14:39:22,
196,departure,2025-10-24 14:39:22,0.14s
196,arrival,2025-10-24 14:39:23,
196,departure,2025-10-24 14:39:24,0.27s
196,arrival,2025-10-24 14:39:24,
196,departure,2025-10-24 14:39:25,1.17s
1,arrival,2025-10-24 14:41:00,
1,departure,2025-10-24 14:41:03,2.84s
1,arrival,2025-10-24 14:41:03,
1,departure,2025-10-24 14:41:07,3.51s
8,arrival,2025-10-24 14:47:50,
8,departure,2025-10-24 14:47:50,0.13s
15,arrival,2025-10-24 14:52:18,
15,departure,2025-10-24 14:52:18,0.13s
